#N_{tot} = 10^5
## X	 |Y	 |N
0.004150270	(0.02290120)	0
0.004150270	(0.01790120)	1.000000
0.004150270	(0.01290120)	2.000000
0.004150270	(0.007901200)	13.00000
0.004150270	(0.002901200)	24.00000
0.004150270	0.002098800	23.00000
0.004150270	0.007098800	7.000000
0.004150270	0.01209880	3.000000
0.004150270	0.01709880	3.000000
0.004150270	0.02209880	1.000000
0.004150270	0.02709880	2.000000
0.004150270	0.03209880	5.000000
0.004150270	0.03709880	1.000000
0.004150270	0.04209880	0
0.004150270	0.04709880	0
0.004150270	0.05209880	1.000000
0.004150270	0.05709880	0
0.004650270	(0.05790120)	0
0.004650270	(0.05290120)	0
0.004650270	(0.04790120)	0
0.004650270	(0.04290120)	0
0.004650270	(0.03790120)	1.000000
0.004650270	(0.03290120)	1.000000
0.004650270	(0.02790120)	0
0.004650270	(0.02290120)	0
0.004650270	(0.01790120)	0
0.004650270	(0.01290120)	3.000000
0.004650270	(0.007901200)	5.000000
0.004650270	(0.002901200)	7.000000
0.004650270	0.002098800	8.000000
0.004650270	0.007098800	4.000000
0.004650270	0.01209880	5.000000
0.004650270	0.01709880	1.000000
0.004650270	0.02209880	3.000000
0.004650270	0.02709880	1.000000
0.004650270	0.03209880	2.000000
0.004650270	0.03709880	2.000000
0.004650270	0.04209880	1.000000
0.004650270	0.04709880	0
0.004650270	0.05209880	1.000000
0.004650270	0.05709880	0
0.005150270	(0.05790120)	0
0.005150270	(0.05290120)	1.000000
0.005150270	(0.04790120)	0
0.005150270	(0.04290120)	5.000000
0.005150270	(0.03790120)	4.000000
0.005150270	(0.03290120)	4.000000
0.005150270	(0.02790120)	3.000000
0.005150270	(0.02290120)	1.000000
0.005150270	(0.01790120)	2.000000
0.005150270	(0.01290120)	1.000000
0.005150270	(0.007901200)	3.000000
0.005150270	(0.002901200)	2.000000
0.005150270	0.002098800	8.000000
0.005150270	0.007098800	3.000000
0.005150270	0.01209880	2.000000
0.005150270	0.01709880	0
0.005150270	0.02209880	0
0.005150270	0.02709880	0
0.005150270	0.03209880	2.000000
0.005150270	0.03709880	1.000000
0.005150270	0.04209880	0
0.005150270	0.04709880	0
0.005150270	0.05209880	1.000000
0.005150270	0.05709880	1.000000
0.005650270	(0.05790120)	0
0.005650270	(0.05290120)	0
0.005650270	(0.04790120)	1.000000
0.005650270	(0.04290120)	1.000000
0.005650270	(0.03790120)	1.000000
0.005650270	(0.03290120)	2.000000
0.005650270	(0.02790120)	0
0.005650270	(0.02290120)	1.000000
0.005650270	(0.01790120)	0
0.005650270	(0.01290120)	1.000000
0.005650270	(0.007901200)	4.000000
0.005650270	(0.002901200)	4.000000
0.005650270	0.002098800	13.00000
0.005650270	0.007098800	4.000000
0.005650270	0.01209880	7.000000
0.005650270	0.01709880	0
0.005650270	0.02209880	1.000000
0.005650270	0.02709880	0
0.005650270	0.03209880	0
0.005650270	0.03709880	1.000000
0.005650270	0.04209880	4.000000
0.005650270	0.04709880	0
0.005650270	0.05209880	0
0.005650270	0.05709880	0
0.006150270	(0.05790120)	1.000000
0.006150270	(0.05290120)	0
0.006150270	(0.04790120)	1.000000
0.006150270	(0.04290120)	1.000000
0.006150270	(0.03790120)	1.000000
0.006150270	(0.03290120)	2.000000
0.006150270	(0.02790120)	0
0.006150270	(0.02290120)	1.000000
0.006150270	(0.01790120)	1.000000
0.006150270	(0.01290120)	8.000000
0.006150270	(0.007901200)	3.000000
0.006150270	(0.002901200)	0
0.006150270	0.002098800	8.000000
0.006150270	0.007098800	3.000000
0.006150270	0.01209880	4.000000
0.006150270	0.01709880	3.000000
0.006150270	0.02209880	1.000000
0.006150270	0.02709880	0
0.006150270	0.03209880	0
0.006150270	0.03709880	2.000000
0.006150270	0.04209880	4.000000
0.006150270	0.04709880	0
0.006150270	0.05209880	0
0.006150270	0.05709880	1.000000
0.006650270	(0.05790120)	1.000000
0.006650270	(0.05290120)	1.000000
0.006650270	(0.04790120)	0
0.006650270	(0.04290120)	2.000000
0.006650270	(0.03790120)	2.000000
0.006650270	(0.03290120)	0
0.006650270	(0.02790120)	0
0.006650270	(0.02290120)	0
0.006650270	(0.01790120)	1.000000
0.006650270	(0.01290120)	1.000000
0.006650270	(0.007901200)	1.000000
0.006650270	(0.002901200)	4.000000
0.006650270	0.002098800	10.00000
0.006650270	0.007098800	2.000000
0.006650270	0.01209880	4.000000
0.006650270	0.01709880	2.000000
0.006650270	0.02209880	5.000000
0.006650270	0.02709880	1.000000
0.006650270	0.03209880	3.000000
0.006650270	0.03709880	0
0.006650270	0.04209880	3.000000
0.006650270	0.04709880	2.000000
0.006650270	0.05209880	1.000000
0.006650270	0.05709880	1.000000
0.007150270	(0.05790120)	0
0.007150270	(0.05290120)	0
0.007150270	(0.04790120)	0
0.007150270	(0.04290120)	0
0.007150270	(0.03790120)	2.000000
0.007150270	(0.03290120)	0
0.007150270	(0.02790120)	0
0.007150270	(0.02290120)	0
0.007150270	(0.01790120)	0
0.007150270	(0.01290120)	0
0.007150270	(0.007901200)	6.000000
0.007150270	(0.002901200)	8.000000
